Model	Color Coding	ISO Code	Material	Shank Shape/Length	Working Shape	Grid Size	åƒÇ—åa	ëSí∑	çÏã∆ïîí∑	US/EU
SF-31C	Green	806-314-109-534-014	806	314	109	534	14	19.1	4.7	835
SF-31SC	Black	806-314-109-544-015	806	314	109	544	15	19.2	4.8	835
SF-32	Blue	806-314-109-524-013	806	314	109	524	13	19.2	5.15	835
SF-40	Blue	806-315-109-524-010	806	315	109	524	10	20.1	4.25	107
SF-41	Blue	806-314-109-524-011	806	314	109	524	11	19	4.25	835
SF-41C	Green	806-314-109-534-011	806	314	109	534	11	19	4.3	835
SF-41SC	Black	806-314-109-544-013	806	314	109	544	13	19.1	4.4	835
SF-42	Blue	806-314-109-524-013	806	314	109	524	13	19.1	4.25	107
SF-43	Blue	806-314-109-524-015	806	314	109	524	15	19.1	4.15	107
SF-79	Blue	806-314-109-524-014	806	314	109	524	14	19.1	4.45	835
SF-79C	Green	806-314-109-534-015	806	314	109	534	15	19.1	4.5	835
SF-80	Blue	806-314-109-524-012	806	314	109	524	12	19.1	4.45	835
SF-80C	Green	806-314-109-534-013	806	314	109	534	13	19.1	4.5	835
SF-81	Blue	806-314-109-524-008	806	314	109	524	8	19.1	4.45	835
SF-S40	Blue	806-313-109-524-010	806	313	109	524	10	16.1	4.25	
SF-S41	Blue	806-313-109-524-011	806	313	109	524	11	16.7	3.75	835
SI-045	Blue	806-314-010-524-011	806	314	010	524	11	19.1	1.08	805
SI-31	Blue	806-314-010-524-019	806	314	010	524	19	19.1	5.05	
SI-33	Blue	806-314-010-524-015	806	314	010	524	15	19.1	4.35	807
SI-34	Blue	806-314-010-524-013	806	314	010	524	13	19.1	3.85	807
SI-37	Blue	806-314-010-524-017	806	314	010	524	17	19.1	4.35	807
SI-41	Blue	806-315-010-524-019	806	315	010	524	19	20.1	2.45	805
SI-42	Blue	806-315-010-524-017	806	315	010	524	17	20.1	1.85	805
SI-43	Blue	806-315-010-524-015	806	315	010	524	15	20.1	1.75	805
SI-44	Blue	806-315-010-524-013	806	315	010	524	13	20.1	1.35	805
SI-45	Blue	806-315-010-524-010	806	315	010	524	10	20.1	1.35	805
SI-46	Blue	806-314-010-524-013	806	314	010	524	13	19	1.35	805
SI-46C	Green	806-314-010-534-014	806	314	010	534	14	19	1.4	805
SI-46SC	Black	806-314-010-544-015	806	314	010	544	15	19.1	1.5	805
SI-47	Blue	806-314-010-524-015	806	314	010	524	15	19	1.75	805
SI-47C	Green	806-314-010-534-015	806	314	010	534	15	19	1.8	805
SI-47SC	Black	806-314-010-544-017	806	314	010	544	17	19.1	1.9	805
SI-48	Blue	806-314-010-524-017	806	314	010	524	17	19	1.85	805
SI-48C	Green	806-314-010-534-017	806	314	010	534	17	19	1.9	805
SI-48SC	Black	806-314-010-544-019	806	314	010	544	19	19.1	2	805
SI-61	Blue	806-314-012-524-010	806	314	012	524	10	19.15	1.25	12
SI-S46	Blue	806-313-010-524-013	806	313	010	524	13	16.6	1.35	805
SI-S48	Blue	806-313-010-524-017	806	313	010	524	17	16.6	1.85	805
SO-11	Blue	806-315-130-524-012	806	315	130	524	12	21.7	7.85	885
SO-12	Blue	806-316-290-524-015	806	316	290	524	15	24.1	9.95	879
SO-13	Blue	806-316-131-524-016	806	316	131	524	16	24.1	9.65	886
SO-14	Blue	806-316-131-524-018	806	316	131	524	18	24.1	9.65	886
SO-20	Blue	806-315-297-524-012	806	315	297	524	12	21	6.15	877
SO-20C	Green	806-315-297-534-013	806	315	297	534	13	21	6.2	877K
SO-21	Blue	806-315-298-524-014	806	315	298	524	14	21.8	8.15	878
SO-21C	Green	806-315-298-534-015	806	315	298	534	15	21.8	8.2	878K
SO-21SC	Black	806-315-298-544-016	806	315	298	544	16	21.9	8.3	878
SO-22C	Green	806-315-288-534-010	806	315	288	534	10	20.2	6.1	878
SO-23	Blue	806-315-289-524-017	806	315	289	524	17	22.1	8.15	878
SO-23C	Green	806-315-289-534-012	806	315	289	534	12	22.2	8.1	878
SO-67	Blue	806-316-291-524-014	806	316	291	524	14	26.1	12.15	879
SO-S20	Blue	806-314-297-524-012	806	314	297	524	12	18.8	6.15	877
SO-S20C	Green	806-314-297-534-013	806	314	297	534	13	18.8	6.2	877K
SO-SS20	Blue	806-313-297-524-012	806	313	297	524	12	16.8	6.15	877K
SR-11	Blue	806-315-141-524-012	806	315	141	524	12	22.2	8.15	881
SR-11C	Green	806-315-141-534-013	806	315	141	534	13	22.2	8.2	881
SR-11SC	Black	806-315-141-544-014	806	315	141	544	14	22.3	8.3	881
SR-12	Blue	806-315-141-524-014	806	315	141	524	14	22.2	8.15	881
SR-12C	Green	806-315-141-534-015	806	315	141	534	15	22.2	8.2	881
SR-12SC	Black	806-315-141-544-016	806	315	141	544	16	22.3	8.3	881
SR-13	Blue	806-315-141-524-016	806	315	141	524	16	22.2	8.15	881
SR-13C	Green	806-315-141-534-017	806	315	141	534	17	22.2	8.2	881
SR-13SC	Black	806-315-141-544-018	806	315	141	544	18	22.3	8.3	881
SR-54	Blue	806-314-139-524-012	806	314	139	524	12	19.3	4.15	838
SR-55	Blue	806-314-139-524-013	806	314	139	524	13	19.3	4.25	838
SR-56	Blue	806-315-140-524-013	806	315	140	524	13	20.6	7.15	
SR-57	Blue	806-314-139-524-009	806	314	139	524	9	19.3	4.15	838
TC-11	Blue	806-315-166-524-016	806	315	166	524	16	22	10.15	852
TC-11C	Green	806-315-166-534-017	806	315	166	534	17	22	10.2	852
TC-11EF	Yellow	806-315-166-504-013	806	315	166	504	13	21.82	9.92	852
TC-11F	Red	806-315-166-514-015	806	315	166	514	15	21.9	10.05	852
TC-11SC	Black	806-315-166-544-018	806	315	166	544	18	22.1	10.3	852
TC-12	Blue	806-316-167-524-011	806	316	167	524	11	26.1	11.65	859L
TC-13	Blue	806-316-167-524-014	806	316	167	524	14	25.1	11.25	859L
TC-14	Blue	806-316-166-524-016	806	316	166	524	16	23.7	10.25	859
TC-14EF	Yellow	806-316-166-504-013	806	316	166	504	13	23.52	10.02	859
TC-14F	Red	806-316-166-514-015	806	316	166	514	15	23.6	10.15	859
TC-15	Blue	806-316-166-524-019	806	316	166	524	19	24.1	10.15	859
TC-16	Blue	806-316-166-524-018	806	316	166	524	18	23.2	10.35	859
TC-21	Blue	806-315-165-524-014	806	315	165	524	14	22	8.15	852
TC-21C	Green	806-315-165-534-015	806	315	165	534	15	22	8.2	858
TC-21EF	Yellow	806-315-165-504-011	806	315	165	504	11	21.82	7.92	852
TC-21F	Red	806-315-165-514-013	806	315	165	514	13	21.9	8.05	852
TC-22	Blue	806-315-165-524-013	806	315	165	524	13	21.1	7.45	
TC-23	Blue	806-315-165-524-013	806	315	165	524	13	21.1	7.25	858
TC-23F	Red	806-315-165-514-013	806	315	165	514	13	21	7.15	858
TC-24	Blue	806-315-165-524-015	806	315	165	524	15	21.1	7.15	858
TC-25	Blue	806-315-164-524-018	806	315	164	524	18	21.1	6.35	
TC-26	Blue	806-315-164-524-011	806	315	164	524	11	21.2	6.05	852
TC-26C	Green	806-315-164-534-011	806	315	164	534	11	21.2	6.1	852
TC-28	Blue	806-316-166-524-011	806	316	166	524	11	23.2	10.15	859
TC-72	Blue	806-315-165-524-010	806	315	165	524	10	21.8	7.85	858
TC-72C	Green	806-315-165-534-011	806	315	165	534	11	21.8	7.9	858
TC-73F	Red	806-316-166-514-010	806	316	166	514	10	23.7	9.65	859
TC-74C	Green	806-316-166-534-012	806	316	166	534	12	23.7	9.8	859
TC-S21	Blue	806-315-165-524-014	806	315	165	524	14	20	8.15	852
TC-S21C	Green	806-315-165-534-015	806	315	165	534	15	20	8.2	858
TC-SS21	Blue	806-314-165-524-014	806	314	165	524	14	17.1	8.15	858
TC-SS21F	Red	806-314-165-514-012	806	314	165	514	12	18.1	8.15	858
TF-11	Blue	806-316-173-524-014	806	316	173	524	14	24	10.15	848
TF-11C	Green	806-316-173-534-015	806	316	173	534	15	24	10.2	848
TF-11SC	Black	806-316-173-544-016	806	316	173	544	16	24.1	10.3	73
TF-12	Blue	806-315-173-524-016	806	315	173	524	16	21.8	10.15	848
TF-12C	Green	806-315-173-534-017	806	315	173	534	17	21.8	10.2	848
TF-12EF	Yellow	806-315-173-504-013	806	315	173	504	13	21.62	9.92	848
TF-12F	Red	806-315-173-514-015	806	315	173	514	15	21.7	10.05	848
TF-12SC	Black	806-315-173-544-018	806	315	173	544	18	21.9	10.3	848
TF-13	Blue	806-315-173-524-018	806	315	173	524	18	21.8	10.15	848
TF-13C	Green	806-315-173-534-019	806	315	173	534	19	21.8	10.2	848
TF-13SC	Black	806-315-173-544-020	806	315	173	544	20	21.9	10.3	848
TF-14	Blue	806-315-172-524-023	806	315	172	524	23	21.8	9.25	847
TF-14C	Green	806-315-172-534-024	806	315	172	534	24	21.85	9.35	847
TF-15	Blue	806-315-172-524-026	806	315	172	524	26	22.1	8.25	847
TF-20	Blue	806-315-171-524-014	806	315	171	524	14	21	7.15	846
TF-20C	Green	806-315-171-534-015	806	315	171	534	15	21	7.2	846
TF-21	Blue	806-315-171-524-016	806	315	171	524	16	21	7.15	846
TF-21C	Green	806-315-171-534-017	806	315	171	534	17	21	7.2	846
TF-21EF	Yellow	806-315-171-504-013	806	315	171	504	13	20.82	6.92	846
TF-21F	Red	806-315-171-514-015	806	315	171	514	15	20.9	7.05	846
TF-22	Blue	806-314-170-524-021	806	314	170	524	21	19	5.45	845
TF-22C	Green	806-314-171-534-022	806	314	171	534	22	19.05	5.55	845
TF-22SC	Black	806-314-170-544-023	806	314	170	544	23	19.1	5.6	845
TF-23	Blue	806-315-170-524-018	806	315	170	524	18	20.1	5.15	845
TF-23C	Green	806-315-170-534-019	806	315	170	534	19	20.1	5.2	845
TF-31	Blue	806-314-170-524-016	806	314	170	524	16	19	4.15	845
TF-31C	Green	806-314-170-534-017	806	314	170	534	17	19	4.2	845
TF-31SC	Black	806-314-170-544-018	806	314	170	544	18	19.1	4.3	845
TF-33	Blue	806-315-170-524-013	806	315	170	524	13	21.1	4.2	168
TF-41	Blue	806-314-169-524-011	806	314	169	524	11	19.1	3.65	845
TF-41C	Green	806-314-170-534-012	806	314	170	534	12	19.1	3.7	845
TF-42	Blue	806-314-170-524-012	806	314	170	524	12	19	4.15	845
TF-42C	Green	806-314-170-534-013	806	314	170	534	13	19	4.2	845
TF-43	Blue	806-314-170-524-014	806	314	170	524	14	19	4.15	845
TF-43C	Green	806-314-170-534-015	806	314	170	534	15	19	4.2	845
TF-S12	Blue	806-315-173-524-016	806	315	173	524	16	21.2	10.25	848
TF-S20	Blue	806-314-171-524-014	806	314	171	524	14	18.8	7.15	846
TF-S20C	Green	806-314-171-534-015	806	314	171	534	15	18.8	7.2	846
TF-S21	Blue	806-314-171-524-016	806	314	171	524	16	18.8	7.15	846
TF-S21C	Green	806-314-171-534-017	806	314	171	534	17	18.8	7.2	846
TF-S22	Blue	806-313-170-524-021	806	313	170	524	21	16.9	5.45	845
TF-S23	Blue	806-314-170-524-018	806	314	170	524	18	17.1	5.15	845
TF-S31	Blue	806-313-170-524-016	806	313	170	524	16	16.8	4.15	845
TF-S41	Blue	806-313-169-524-011	806	313	169	524	11	16.8	3.65	845
TF-SS31	Blue	806-312-170-524-016	806	312	170	524	16	14.3	4.15	845
TO-58C	Green	806-315-297-534-014	806	315	297	534	14	21.2	6.1	877K
TR-11	Blue	806-315-199-524-016	806	315	199	524	16	21.8	10.15	850
TR-11C	Green	806-315-199-534-017	806	315	199	534	17	21.8	10.2	850
TR-11EF	Yellow	806-315-199-504-013	806	315	199	504	13	21.62	9.92	850
TR-11F	Red	806-315-199-514-015	806	315	199	514	15	21.7	10.05	850
TR-12	Blue	806-315-199-524-016	806	315	199	524	16	21.8	10.15	850
TR-12C	Green	806-315-199-534-017	806	315	199	534	17	21.8	10.2	850
TR-12EF	Yellow	806-315-199-504-013	806	315	199	504	13	21.62	9.92	850
TR-12SC	Black	806-315-199-544-018	806	315	199	544	18	21.9	10.3	850
TR-13	Blue	806-315-198-524-018	806	315	198	524	18	21.8	9.15	856
TR-13C	Green	806-315-198-534-019	806	315	198	534	19	21.8	9.2	856
TR-13EF	Yellow	806-315-198-504-015	806	315	198	504	15	21.62	8.92	856
TR-13F	Red	806-315-198-514-017	806	315	198	514	17	21.7	9.05	856
TR-13SC	Black	806-315-198-544-020	806	315	198	544	20	21.9	9.3	856
TR-14	Blue	806-315-198-524-022	806	315	198	524	22	22	9.25	856
TR-14C	Green	806-315-198-534-023	806	315	198	534	23	22.05	9.35	856
TR-14SC	Black	806-315-198-544-024	806	315	198	544	24	22.1	9.4	856
TR-15	Blue	806-316-199-524-022	806	316	199	524	22	23.8	11.35	850L
TR-15C	Green	806-316-199-534-023	806	316	199	534	23	23.85	11.45	850
TR-15SC	Black	806-316-199-544-024	806	316	199	544	24	23.9	11.5	850L
TR-17C	Green	806-316-199-534-018	806	316	199	534	18	24.1	10.2	850
TR-19	Blue	806-316-199-524-023	806	316	199	524	23	23.8	11.35	850L
TR-19C	Green	806-316-199-534-024	806	316	199	534	24	23.85	11.45	850L
TR-19SC	Black	806-316-199-544-025	806	316	199	544	25	23.9	11.5	850L
TR-20	Blue	806-315-197-524-014	806	315	197	524	14	21	7.15	855
TR-20C	Green	806-315-197-534-015	806	315	197	534	15	21	7.2	855
TR-21	Blue	806-315-197-524-016	806	315	197	524	16	21.1	7.15	855
TR-21C	Green	806-315-197-534-017	806	315	197	534	17	21.1	7.2	855
TR-21EF	Yellow	806-315-197-504-013	806	315	197	504	13	20.92	6.92	855
TR-21F	Red	806-315-197-514-015	806	315	197	514	15	21	7.05	855
TR-21SC	Black	806-315-197-544-018	806	315	197	544	18	21.2	7.3	855
TR-22	Blue	806-315-197-524-012	806	315	197	524	12	21.7	7.25	856
TR-224	Blue	806-316-199-524-011	806	316	199	524	11	24.2	10.25	850
TR-224C	Green	806-316-199-534-012	806	316	199	534	12	24.2	10.3	850
TR-23	Blue	806-315-198-524-016	806	315	198	524	16	21.7	8.15	856
TR-24	Blue	806-315-197-524-018	806	315	197	524	18	21.2	7.15	855
TR-24C	Green	806-315-197-534-019	806	315	197	534	19	21.2	7.2	855
TR-25	Blue	806-315-199-524-016	806	315	199	524	16	21.7	10.15	850
TR-256C	Green	806-315-198-534-015	806	315	198	534	15	22.2	8.4	856
TR-257C	Green	806-315-198-534-014	806	315	198	534	14	22.2	8.2	856
TR-258C	Green	806-315-197-534-026	806	315	197	534	26	21.35	7.45	855
TR-258SC	Black	806-315-197-544-027	806	315	197	544	27	21.4	7.5	855
TR-259C	Green	806-315-198-534-012	806	315	198	534	12	22.2	8.4	856
TR-25C	Green	806-315-199-534-017	806	315	199	534	17	21.7	10.2	850
TR-25EF	Yellow	806-315-199-504-013	806	315	199	504	13	21.52	9.92	850
TR-25F	Red	806-315-199-514-015	806	315	199	514	15	21.6	10.05	850
TR-26	Blue	806-315-198-524-018	806	315	198	524	18	21.8	9.15	850
TR-26C	Green	806-315-198-534-019	806	315	198	534	19	21.8	9.2	856
TR-26EF	Yellow	806-315-198-504-015	806	315	198	504	15	21.62	8.92	850
TR-26F	Red	806-315-198-514-017	806	315	198	514	17	21.7	9.05	850
TR-27	Blue	806-315-198-524-012	806	315	198	524	12	21.2	8.15	856
TR-28	Blue	806-315-198-524-012	806	315	198	524	12	21.3	8.15	856
TR-28C	Green	806-315-198-534-012	806	315	198	534	12	21.2	8.1	856
TR-29	Blue	806-315-198-524-016	806	315	198	524	16	21.2	8.15	856
TR-29C	Green	806-315-198-534-016	806	315	198	534	16	21.2	8.1	856
TR-29F	Red	806-315-198-514-016	806	315	198	514	16	21.1	8.05	856
TR-30	Blue	806-315-198-524-011	806	315	198	524	11	21.2	8.15	
TR-62C	Green	806-315-197-534-018	806	315	197	534	18	20	7.2	855
TR-S13	Blue	806-315-299-524-018	806	315	299	524	18	20.9	9.55	856
TR-S13C	Green	806-315-299-534-019	806	315	299	534	19	20.9	9.6	878K
TR-S14	Blue	806-315-198-524-022	806	315	198	524	22	20.05	9.25	856
TR-S14EF	Yellow	806-314-198-504-019	806	314	198	504	19	19.87	8.93	856
TR-S21	Blue	806-314-197-524-016	806	314	197	524	16	18.8	7.15	855
TR-S21C	Green	806-314-197-534-017	806	314	197	534	17	18.8	7.2	855
TR-SS21	Blue	806-314-197-524-016	806	314	197	524	16	17.7	7.15	855
TR-SS21C	Green	806-314-197-534-017	806	314	197	534	17	17.7	7.2	855
WF-30	Blue	806-314-041-524-024	806	314	041	524	24	19.2	0.55	815
WR-12	Blue	806-314-072-524-040	806	314	072	524	40	19	1.55	909
WR-12C	Green	806-314-072-534-041	806	314	072	534	41	19.05	1.65	
WR-13	Blue	806-314-072-524-042	806	314	072	524	42	19.1	1.85	909
WR-13C	Green	806-314-072-534-043	806	314	072	534	43	19.15	1.95	909
WR-13SC	Black	806-314-072-544-044	806	314	072	544	44	19.2	2	909
WR-14	Blue	806-314-072-524-042	806	314	072	524	42	19.1	2.05	42
WR-31F	Red	806-314-072-514-015	806	314	072	514	15	19.1	0.59	304
WR-S31F	Red	806-313-072-514-015	806	313	072	514	15	16.6	0.59	304
RS-21EF	Yellow	806-315-545-504-016	806	315	545	504	16	21.02	6.92	846KR
EA-10	Blue	806-315-494-524-019	806	314	494	524	19	22	11	
EA-L10	Blue	806-316-494-524-019	806	316	494	524	19	25	11	
EA-13	Blue	806-316-173-524-018	806	316	173	524	18	28	10.15	
EA-40	Blue	806-316-001-524-016	806	316	001	524	16	25	1.4	
DM-103	Blue	806-315-073-524-028	806	315	073	524	28	21.7	1.4	
DM-105	Blue	806-315-073-524-032	806	315	073	524	32	21.7	1.4	
DM-303	Blue	806-315-552-524-017	806	315	552	524	17	22.2	6.1	
DM-305	Blue	806-315-552-524-021	806	315	552	524	21	22.2	6.1	
